,zone,data,time
0,부안군 전체 지역,321499.0,2021-11-30 00:00:00.0
1,부안상설시장,76760.0,2021-11-30 00:00:00.0
2,부안시외버스터미널,168252.0,2021-11-30 00:00:00.0
3,부안초등학교,35859.0,2021-11-30 00:00:00.0
4,풍류매화 상가거리,66729.0,2021-11-30 00:00:00.0
5,풍류매화 주택가,24166.0,2021-11-30 00:00:00.0
6,풍류주택가,35144.0,2021-11-30 00:00:00.0
