,zone,data,time
91,미래형자동차,561,2022-02-04T15:00:00.000Z
92,미래형자동차,388,2022-02-05T15:00:00.000Z
93,미래형자동차,836,2022-02-06T15:00:00.000Z
94,미래형자동차,919,2022-02-07T15:00:00.000Z
95,미래형자동차,935,2022-02-08T15:00:00.000Z
96,미래형자동차,997,2022-02-09T15:00:00.000Z
97,미래형자동차,988,2022-02-10T15:00:00.000Z
98,미래형자동차,585,2022-02-11T15:00:00.000Z
99,미래형자동차,374,2022-02-12T15:00:00.000Z
100,미래형자동차,995,2022-02-13T15:00:00.000Z
101,미래형자동차,1018,2022-02-14T15:00:00.000Z
102,미래형자동차,1038,2022-02-15T15:00:00.000Z
103,미래형자동차,1064,2022-02-16T15:00:00.000Z
104,미래형자동차,974,2022-02-17T15:00:00.000Z
105,미래형자동차,599,2022-02-18T15:00:00.000Z
106,미래형자동차,414,2022-02-19T15:00:00.000Z
107,미래형자동차,999,2022-02-20T15:00:00.000Z
108,미래형자동차,987,2022-02-21T15:00:00.000Z
109,미래형자동차,1020,2022-02-22T15:00:00.000Z
110,미래형자동차,990,2022-02-23T15:00:00.000Z
111,미래형자동차,992,2022-02-24T15:00:00.000Z
112,미래형자동차,567,2022-02-25T15:00:00.000Z
113,미래형자동차,432,2022-02-26T15:00:00.000Z
114,미래형자동차,895,2022-02-27T15:00:00.000Z
115,미래형자동차,604,2022-02-28T15:00:00.000Z
116,미래형자동차,920,2022-03-01T15:00:00.000Z
117,미래형자동차,948,2022-03-02T15:00:00.000Z
118,전체,3857,2022-01-17T15:00:00.000Z
119,전체,4081,2022-01-18T15:00:00.000Z
120,전체,3871,2022-01-19T15:00:00.000Z
121,전체,3990,2022-01-20T15:00:00.000Z
122,전체,2887,2022-01-21T15:00:00.000Z
123,전체,2261,2022-01-22T15:00:00.000Z
124,전체,3916,2022-01-23T15:00:00.000Z
125,전체,4098,2022-01-24T15:00:00.000Z
126,전체,4157,2022-01-25T15:00:00.000Z
127,전체,3995,2022-01-26T15:00:00.000Z
128,전체,4075,2022-01-27T15:00:00.000Z
129,전체,2763,2022-01-28T15:00:00.000Z
130,전체,2162,2022-01-29T15:00:00.000Z
131,전체,2039,2022-01-30T15:00:00.000Z
132,전체,1863,2022-01-31T15:00:00.000Z
133,전체,2044,2022-02-01T15:00:00.000Z
134,전체,3431,2022-02-02T15:00:00.000Z
135,전체,3603,2022-02-03T15:00:00.000Z
136,전체,2678,2022-02-04T15:00:00.000Z
137,전체,2217,2022-02-05T15:00:00.000Z
138,전체,3629,2022-02-06T15:00:00.000Z
139,전체,3709,2022-02-07T15:00:00.000Z
140,전체,3918,2022-02-08T15:00:00.000Z
141,전체,3933,2022-02-09T15:00:00.000Z
142,전체,3995,2022-02-10T15:00:00.000Z
143,전체,2882,2022-02-11T15:00:00.000Z
144,전체,2198,2022-02-12T15:00:00.000Z
145,전체,3880,2022-02-13T15:00:00.000Z
146,전체,3839,2022-02-14T15:00:00.000Z
147,전체,3889,2022-02-15T15:00:00.000Z
148,전체,3894,2022-02-16T15:00:00.000Z
149,전체,3899,2022-02-17T15:00:00.000Z
150,전체,2845,2022-02-18T15:00:00.000Z
151,전체,2194,2022-02-19T15:00:00.000Z
152,전체,3770,2022-02-20T15:00:00.000Z
153,전체,3817,2022-02-21T15:00:00.000Z
154,전체,3864,2022-02-22T15:00:00.000Z
155,전체,3794,2022-02-23T15:00:00.000Z
156,전체,3903,2022-02-24T15:00:00.000Z
157,전체,2804,2022-02-25T15:00:00.000Z
158,전체,2259,2022-02-26T15:00:00.000Z
159,전체,3559,2022-02-27T15:00:00.000Z
160,전체,2739,2022-02-28T15:00:00.000Z
161,전체,3891,2022-03-01T15:00:00.000Z
162,전체,3881,2022-03-02T15:00:00.000Z
163,주거단지,2783,2022-01-03T15:00:00.000Z
164,주거단지,2763,2022-01-04T15:00:00.000Z
165,주거단지,2624,2022-01-05T15:00:00.000Z
166,주거단지,2733,2022-01-06T15:00:00.000Z
167,주거단지,2179,2022-01-07T15:00:00.000Z
168,주거단지,1748,2022-01-08T15:00:00.000Z
169,주거단지,2741,2022-01-09T15:00:00.000Z
170,주거단지,2614,2022-01-10T15:00:00.000Z
171,주거단지,2846,2022-01-11T15:00:00.000Z
172,주거단지,2632,2022-01-12T15:00:00.000Z
173,주거단지,2761,2022-01-13T15:00:00.000Z
