,zone,data,time
88,미래형자동차,1795,2022-02-01T15:00:00.000Z
89,미래형자동차,2017,2022-02-02T15:00:00.000Z
90,미래형자동차,2019,2022-02-03T15:00:00.000Z
91,미래형자동차,2223,2022-02-04T15:00:00.000Z
92,미래형자동차,1679,2022-02-05T15:00:00.000Z
93,미래형자동차,1970,2022-02-06T15:00:00.000Z
94,미래형자동차,2058,2022-02-07T15:00:00.000Z
95,미래형자동차,2317,2022-02-08T15:00:00.000Z
96,미래형자동차,2123,2022-02-09T15:00:00.000Z
97,미래형자동차,1984,2022-02-10T15:00:00.000Z
98,미래형자동차,1822,2022-02-11T15:00:00.000Z
99,미래형자동차,1833,2022-02-12T15:00:00.000Z
100,미래형자동차,2104,2022-02-13T15:00:00.000Z
101,미래형자동차,2006,2022-02-14T15:00:00.000Z
102,미래형자동차,1961,2022-02-15T15:00:00.000Z
103,미래형자동차,2078,2022-02-16T15:00:00.000Z
104,미래형자동차,2230,2022-02-17T15:00:00.000Z
105,미래형자동차,1895,2022-02-18T15:00:00.000Z
106,미래형자동차,1721,2022-02-19T15:00:00.000Z
107,미래형자동차,1942,2022-02-20T15:00:00.000Z
108,미래형자동차,2018,2022-02-21T15:00:00.000Z
109,미래형자동차,2115,2022-02-22T15:00:00.000Z
110,미래형자동차,1830,2022-02-23T15:00:00.000Z
111,미래형자동차,2102,2022-02-24T15:00:00.000Z
112,미래형자동차,2087,2022-02-25T15:00:00.000Z
113,미래형자동차,1795,2022-02-26T15:00:00.000Z
114,미래형자동차,2149,2022-02-27T15:00:00.000Z
115,미래형자동차,2085,2022-02-28T15:00:00.000Z
116,미래형자동차,1767,2022-03-01T15:00:00.000Z
117,미래형자동차,2121,2022-03-02T15:00:00.000Z
118,전체,2973,2022-01-17T15:00:00.000Z
119,전체,2673,2022-01-18T15:00:00.000Z
120,전체,2748,2022-01-19T15:00:00.000Z
121,전체,2744,2022-01-20T15:00:00.000Z
122,전체,2766,2022-01-21T15:00:00.000Z
123,전체,2573,2022-01-22T15:00:00.000Z
124,전체,2716,2022-01-23T15:00:00.000Z
125,전체,2844,2022-01-24T15:00:00.000Z
126,전체,2830,2022-01-25T15:00:00.000Z
127,전체,2922,2022-01-26T15:00:00.000Z
128,전체,2756,2022-01-27T15:00:00.000Z
129,전체,2522,2022-01-28T15:00:00.000Z
130,전체,2488,2022-01-29T15:00:00.000Z
131,전체,2322,2022-01-30T15:00:00.000Z
132,전체,2271,2022-01-31T15:00:00.000Z
133,전체,2400,2022-02-01T15:00:00.000Z
134,전체,2794,2022-02-02T15:00:00.000Z
135,전체,2743,2022-02-03T15:00:00.000Z
136,전체,2711,2022-02-04T15:00:00.000Z
137,전체,2697,2022-02-05T15:00:00.000Z
138,전체,2780,2022-02-06T15:00:00.000Z
139,전체,2916,2022-02-07T15:00:00.000Z
140,전체,2852,2022-02-08T15:00:00.000Z
141,전체,2891,2022-02-09T15:00:00.000Z
142,전체,2782,2022-02-10T15:00:00.000Z
143,전체,2717,2022-02-11T15:00:00.000Z
144,전체,2575,2022-02-12T15:00:00.000Z
145,전체,2776,2022-02-13T15:00:00.000Z
146,전체,2782,2022-02-14T15:00:00.000Z
147,전체,2859,2022-02-15T15:00:00.000Z
148,전체,2758,2022-02-16T15:00:00.000Z
149,전체,2767,2022-02-17T15:00:00.000Z
150,전체,2546,2022-02-18T15:00:00.000Z
151,전체,2457,2022-02-19T15:00:00.000Z
152,전체,2673,2022-02-20T15:00:00.000Z
153,전체,2861,2022-02-21T15:00:00.000Z
154,전체,2746,2022-02-22T15:00:00.000Z
155,전체,2647,2022-02-23T15:00:00.000Z
156,전체,2812,2022-02-24T15:00:00.000Z
157,전체,2770,2022-02-25T15:00:00.000Z
158,전체,2736,2022-02-26T15:00:00.000Z
159,전체,2832,2022-02-27T15:00:00.000Z
160,전체,2748,2022-02-28T15:00:00.000Z
161,전체,2709,2022-03-01T15:00:00.000Z
162,전체,2641,2022-03-02T15:00:00.000Z
163,주거단지,2320,2022-01-03T15:00:00.000Z
164,주거단지,2360,2022-01-04T15:00:00.000Z
